Location,Description,Unit,Quantity,Unit Cost,Suggested Price,Total Value
THS - Gmall Davao,MIPIACI ORGANIC GOLDEN RATIO GREEN POWDER,PACK,1.00,400.00,800.00,400
THS - Gmall Davao,MIPIACI PREMIUM PURE MATCHA POWDER 50G,PACK,0.00,120.00,250.00,0
THS - Gmall Davao,MIPIACI ORGANIC SPIRULINA POWDER 100G,PACK,0.00,300.00,500.00,0
THS - Gmall Davao,MIPIACI ORGANIC CHLORELLA POWDER 100G,PACK,2.00,230.00,500.00,460
THS - Gmall Davao,MIPIACI GREEN BARLEY GRASS POWDER 30'S,BOX,0.00,300.00,650.00,0
THS - Gmall Davao,MIPIACI UFT PLUS PANTYLINER 20'S,PACK,5.00,70.00,130.00,350
THS - Gmall Davao,MIPIACI UFT PLUS PANTYLINER 20'S PC,PC,0.00,3.50,8.00,0
THS - Gmall Davao,PROTOP CREAM 10G,TUBE,0.00,40.00,90.00,0
THS - Gmall Davao,MIPIACI SPIRULINA 1000S,BOT,0.00,300.00,1.00,0
THS - Gmall Davao,MIPIACI SPIRULINA 1000S PC,PC,0.00,0.30,5.00,0
THS - Gmall Davao,MIPIACI ORGANIC WHEAT POWDER 200G,PACK,0.00,300.00,650.00,0
THS - Gmall Davao,MIPIACI ORGANIC BALSAM PEAR POWDER 200G,PACK,3.00,300.00,650.00,900
THS - Gmall Davao,MIPIACI ORGANIC ALFALFA POWDER 200G,PACK,0.00,300.00,650.00,0
THS - Gmall Davao,MIPIACI ORGANIC KALE POWDER 200G,PACK,1.00,300.00,650.00,300
THS - Gmall Davao,MIPIACI ORGANIC BUCKWHEAT POWDER 200G,PACK,0.00,300.00,650.00,0
THS - Gmall Davao,NAMICA AMPALAYA TEA 20'S,BOX,0.00,55.00,150.00,0
THS - Gmall Davao,NAMICA AMPALAYA TEA 20'S PC,PC,0.00,2.75,5.00,0
THS - Gmall Davao,NAMICA GUYABANO TEA 20'S,BOX,0.00,65.00,130.00,0
THS - Gmall Davao,NAMICA MALUNGGAY TEA 20'S,BOX,3.00,55.00,150.00,165
THS - Gmall Davao,NAMICA MALUNGGAY TEA 20'S PC,PC,0.00,2.75,5.00,0
THS - Gmall Davao,NAMICA PITO-PITO HERBAL TEA 20'S,BOX,0.00,50.00,120.00,0
THS - Gmall Davao,NAMICA PITO-PITO HERBAL TEA 20'S PC,PC,0.00,2.50,7.00,0
